EntiteFinanciereProgramme;NomenclatureComptable;DEPENSES_RECETTES;INVESTISSEMENT_FONCTIONNEMENT;CodeChapitre;LibelleChapitre;CodeArticle;LibelleArticle;CodePresentationCroisee;LibellePresentationCroisee;ORDRE_REEL;MontantRealise
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6041;Achats d etudes, prestations de services - Achats d etudes (autres que terrains a  amenager);511;Espaces verts urbains;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6042;Achats d etudes, prestations de services - Achats de prestations de services (autres que terrains a  amenager);314;Musees;Reel;152696.53
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6045;Achats d etudes, prestations de services - Achats d etudes et de prestations de services (terrains a  amenager);735;Lutte contre les inondations;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;60611;Achats non stockes de matieres et fournitures - Eau et assainissement;428;Autres interventions sociales;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;60611;Achats non stockes de matieres et fournitures - Eau et assainissement;844;Voirie metropolitaine;Reel;4525.35
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;60612;Achats non stockes de matieres et fournitures - Energie - Electricite;20;Administration generale de la collectivite;Reel;2280404.43
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;60612;Achats non stockes de matieres et fournitures - Energie - Electricite;50;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;60622;Achats non stockes de matieres et fournitures - Carburants;20;Administration generale de la collectivite;Reel;5022388.52
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;60622;Achats non stockes de matieres et fournitures - Carburants;325;Autres equipements sportifs ou de loisirs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;60624;Achats non stockes de matieres et fournitures - Produits de traitement;7222;Action en matiere de proprete urbaine et de nettoiement;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;60631;Achats non stockes de matieres et fournitures - Fournitures d entretien;20;Administration generale de la collectivite;Reel;31962.11
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;60632;Achats non stockes de matieres et fournitures - Fournitures de petit equipement;20;Administration generale de la collectivite;Reel;4010924.3
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;60632;Achats non stockes de matieres et fournitures - Fournitures de petit equipement;7213;Tri, valorisation et traitement des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6065;Achats non stockes de matieres et fournitures - Livres, disques, cassettes ... (bibliotheques et mediatheques);311;Activites artistiques, actions et manifestations culturelles;Reel;63891.66
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6068;Achats non stockes de matiere et fournitures - Autres matieres et fournitures;22;Information, communication, publicite;Reel;69299.67
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6068;Achats non stockes de matiere et fournitures - Autres matieres et fournitures;7212;Collecte des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6068;Achats non stockes de matiere et fournitures - Autres matieres et fournitures;735;Lutte contre les inondations;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;611;Contrats de prestations de services;312;Patrimoine;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;611;Contrats de prestations de services;420;Services communs;Reel;20326.7
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;611;Contrats de prestations de services;61;Interventions economiques transversales;Reel;582894.52
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;611;Contrats de prestations de services;7222;Action en matiere de proprete urbaine et de nettoiement;Reel;5139616.98
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;611;Contrats de prestations de services;735;Lutte contre les inondations;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;61351;Locations - Materiel roulant;61;Interventions economiques transversales;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;61358;Locations mobilieres - Autres;22;Information, communication, publicite;Reel;251994.21
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;61358;Locations mobilieres - Autres;322;Stades;Reel;2019.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;61358;Locations mobilieres - Autres;428;Autres interventions sociales;Reel;470.4
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;61358;Locations mobilieres - Autres;7212;Collecte des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;61521;Entretien et reparations - Terrains;322;Stades;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;615221;Entretien et reparations - sur Ba¢timents publics;314;Musees;Reel;33384.39
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;615228;Entretien et reparations - sur Autres Ba¢timents;311;Activites artistiques, actions et manifestations culturelles;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;615231;Entretien et reparations - sur Voiries;844;Voirie metropolitaine;Reel;3068571.93
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;61551;Entretien et reparations - Materiel roulant;844;Voirie metropolitaine;Reel;665048.65
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;61558;Entretien et reparations - Autres biens mobiliers;7213;Tri, valorisation et traitement des dechets;Reel;0.0
